"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"MO_RF_MN004","420","201510","78.96","4","3"
"MO_RF_MN004","420","201511","81.88","4","3"
"MO_RF_MN004","420","201512","80.17","4","3"
"MO_RF_MN004","420","201601","83.3","4","3"
"MO_RF_MN004","420","201602","77.78","4","3"
"MO_RF_MN004","420","201603","75.73","4","3"
"MO_RF_MN004","420","201604","62.78","4","3"
"MO_RF_MN004","420","201605","59.37","4","3"
"MO_RF_MN004","420","201606","63.59","4","3"
"MO_RF_MN004","420","201607","62.42","4","3"
"MO_RF_MN004","420","201608","67.82","4","3"
"MO_RF_MN004","420","201609","63.53","4","3"
"MO_RF_MN004","420","201610","87.84","4","3"
"MO_RF_MN004","420","201611","84.92","4","3"
"MO_RF_MN004","420","201612","86.62","4","3"
"MO_RF_MN004","420","201701","84.68","4","3"
"MO_RF_MN004","420","201702","78.78","4","3"
"MO_RF_MN004","420","201703","70.98","4","3"
"MO_RF_MN004","420","201704","68.61","4","3"
"MO_RF_MN004","420","201705","66.01","4","3"
"MO_RF_MN004","420","201706","66.36","4","3"
"MO_RF_MN004","420","201707","73.04","4","3"
"MO_RF_MN004","420","201708","71.53","4","3"
"MO_RF_MN004","420","201709","78.42","4","3"
"MO_RF_MN004","420","201711","85.06","4","3"
"MO_RF_MN004","420","201712","81.87","4","3"
"MO_RF_MN004","420","201801","81.61","4","3"
"MO_RF_MN004","420","201802","71.1","4","3"
"MO_RF_MN004","420","201803","70.72","4","3"
"MO_RF_MN004","420","201804","63.21","4","3"
"MO_RF_MN004","420","201805","55.41","4","3"
"MO_RF_MN004","420","201806","59.81","4","3"
"MO_RF_MN004","420","201807","56.66","4","3"
"MO_RF_MN004","420","201808","53.78","4","3"
"MO_RF_MN004","420","201809","62","4","3"
"MO_RF_MN004","420","201810","70.27","4","3"
"MO_RF_MN004","420","201811","82.11","4","3"
"MO_RF_MN004","420","201812","84.87","4","3"
"MO_RF_MN004","420","201901","81.82","4","3"
"MO_RF_MN004","420","201902","69.51","4","3"
"MO_RF_MN004","420","201903","72.47","4","3"
"MO_RF_MN004","420","201904","53.46","4","3"
"MO_RF_MN004","420","201905","62.66","4","3"
"MO_RF_MN004","420","201906","54.9","4","3"
"MO_RF_MN004","420","201907","61.18","4","3"
"MO_RF_MN004","420","201908","60.17","4","3"
"MO_RF_MN004","420","201909","69.13","4","3"
"MO_RF_MN004","420","201910","80.77","4","3"
"MO_RF_MN004","420","201911","88.23","4","1"
"MO_RF_MN004","420","201912","83.53","4","1"
"MO_RF_MN004","420","202001","82.17","4","1"
"MO_RF_MN004","427","201001","88.39","4","10"
"MO_RF_MN004","427","201002","84.43","4","10"
"MO_RF_MN004","427","201003","76.39","4","10"
"MO_RF_MN004","427","201004","65.4","4","10"
"MO_RF_MN004","427","201005","78","4","10"
"MO_RF_MN004","427","201006","62.63","4","10"
"MO_RF_MN004","427","201007","57.23","4","10"
"MO_RF_MN004","427","201008","77","4","10"
"MO_RF_MN004","427","201009","80.6","4","10"
"MO_RF_MN004","427","201010","80.29","4","10"
"MO_RF_MN004","427","201011","88.23","4","10"
"MO_RF_MN004","427","201012","89.19","4","10"
"MO_RF_MN004","427","201101","87.58","4","10"
"MO_RF_MN004","427","201102","73.5","4","10"
"MO_RF_MN004","427","201103","68.81","4","10"
"MO_RF_MN004","427","201104","62.43","4","10"
"MO_RF_MN004","427","201105","59.97","4","10"
"MO_RF_MN004","427","201106","64.8","4","10"
"MO_RF_MN004","427","201107","75.13","4","10"
"MO_RF_MN004","427","201108","75.32","4","10"
"MO_RF_MN004","427","201109","77.17","4","10"
"MO_RF_MN004","427","201110","82.35","4","10"
"MO_RF_MN004","427","201111","88.37","4","10"
"MO_RF_MN004","427","201112","84.74","4","10"
"MO_RF_MN004","427","201201","83.1","4","10"
"MO_RF_MN004","427","201202","79.97","4","10"
"MO_RF_MN004","427","201203","71.19","4","10"
"MO_RF_MN004","427","201204","65.67","4","10"
"MO_RF_MN004","427","201205","62.06","4","10"
"MO_RF_MN004","427","201206","70.63","4","10"
"MO_RF_MN004","427","201207","74.45","4","10"
"MO_RF_MN004","427","201208","71.97","4","10"
"MO_RF_MN004","427","201209","72.1","4","10"
"MO_RF_MN004","427","201210","82.42","4","10"
"MO_RF_MN004","427","201211","90.6","4","10"
"MO_RF_MN004","427","201212","89.97","4","10"
"MO_RF_MN004","427","201301","88.87","4","10"
"MO_RF_MN004","427","201302","88.57","4","10"
"MO_RF_MN004","427","201303","75.32","4","10"
"MO_RF_MN004","427","201304","68.1","4","10"
"MO_RF_MN004","427","201305","73.48","4","7"
"MO_RF_MN004","427","201306","69.4","4","3"
"MO_RF_MN004","427","201307","63.41","4","3"
"MO_RF_MN004","427","201308","69.08","4","3"
"MO_RF_MN004","427","201309","80.68","4","3"
"MO_RF_MN004","427","201310","80.36","4","3"
"MO_RF_MN004","427","201311","87.27","4","3"
"MO_RF_MN004","427","201312","86.07","4","3"
"MO_RF_MN004","427","201401","86.13","4","3"
"MO_RF_MN004","427","201402","75.91","4","3"
"MO_RF_MN004","427","201403","73.67","4","3"
"MO_RF_MN004","427","201404","71.13","4","3"
"MO_RF_MN004","427","201405","70.64","4","3"
"MO_RF_MN004","427","201406","64.87","4","3"
"MO_RF_MN004","427","201407","65.95","4","3"
"MO_RF_MN004","427","201408","71.41","4","3"
"MO_RF_MN004","427","201409","81.21","4","3"
"MO_RF_MN004","427","201410","88.3","4","3"
"MO_RF_MN004","427","201411","90.54","4","3"
"MO_RF_MN004","427","201412","89.52","4","3"
"MO_RF_MN004","427","201501","88.73","4","3"
"MO_RF_MN004","427","201502","84.07","4","3"
"MO_RF_MN004","427","201503","75.92","4","3"
"MO_RF_MN004","427","201504","66.05","4","3"
"MO_RF_MN004","427","201505","63.54","4","3"
"MO_RF_MN004","427","201506","63.56","4","3"
"MO_RF_MN004","427","201507","64.57","4","3"
"MO_RF_MN004","427","201508","61.59","4","3"
"MO_RF_MN004","427","201509","77.78","4","3"
"MO_RF_MN004","427","201510","84.57","4","3"
"MO_RF_MN004","427","201511","87.05","4","3"
"MO_RF_MN004","427","201512","85.86","4","3"
"MO_RF_MN004","427","201601","88.65","4","3"
"MO_RF_MN004","427","201602","84","4","3"
"MO_RF_MN004","427","201603","79.87","4","3"
"MO_RF_MN004","427","201604","68.24","4","3"
"MO_RF_MN004","427","201605","63.15","4","3"
"MO_RF_MN004","427","201606","67.63","4","3"
"MO_RF_MN004","427","201607","65.05","4","3"
"MO_RF_MN004","427","201608","69.56","4","3"
"MO_RF_MN004","427","201609","66.29","4","3"
"MO_RF_MN004","427","201610","88.94","4","3"
"MO_RF_MN004","427","201611","88.35","4","3"
"MO_RF_MN004","427","201612","90.23","4","3"
"MO_RF_MN004","427","201701","88.42","4","3"
"MO_RF_MN004","427","201702","82.46","4","3"
"MO_RF_MN004","427","201703","74.53","4","3"
"MO_RF_MN004","427","201704","70.31","4","3"
"MO_RF_MN004","427","201705","66.83","4","3"
"MO_RF_MN004","427","201706","64.88","4","3"
"MO_RF_MN004","427","201707","73.31","4","3"
"MO_RF_MN004","427","201708","71.54","4","3"
"MO_RF_MN004","427","201709","78.02","4","3"
"MO_RF_MN004","427","201710","83.96","4","3"
"MO_RF_MN004","427","201711","87.22","4","3"
"MO_RF_MN004","427","201712","85.55","4","3"
"MO_RF_MN004","427","201801","84.54","4","3"
"MO_RF_MN004","427","201802","74.5","4","3"
"MO_RF_MN004","427","201803","73.6","4","3"
"MO_RF_MN004","427","201804","66.99","4","3"
"MO_RF_MN004","427","201805","58.23","4","3"
"MO_RF_MN004","427","201806","62.68","4","3"
"MO_RF_MN004","427","201807","57.83","4","3"
"MO_RF_MN004","427","201808","56.26","4","3"
"MO_RF_MN004","427","201809","64.49","4","3"
"MO_RF_MN004","427","201810","74.21","4","3"
"MO_RF_MN004","427","201811","85.7","4","3"
"MO_RF_MN004","427","201812","87.99","4","3"
"MO_RF_MN004","427","201901","84.68","4","3"
"MO_RF_MN004","427","201902","75.51","4","3"
"MO_RF_MN004","427","201903","77.66","4","3"
"MO_RF_MN004","427","201904","56.24","4","3"
"MO_RF_MN004","427","201905","63.68","4","3"
